,Updated: 17 Oct 2023,,,,,,,,,,,,,,,,,,,Chuy?n máy t? ... v? ... dd.mm.yyyy,,,,,,,,,,,,,,,,,,,,,,,Non FA,,,,
,,,,,,,,,,,,,,,,,,,,Chuy?n máy CUT t? HYN v? HYS 12.12.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRANSFER-Internal: chuy?n máy qua l?i gi?a HYS và HYN,,,,,,,,,,,,,,,,,,,Chuy?n máy t? HYN ?i H?ng Long thuê 11.12.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRANSFER-External: chuy?n ra kh?i HYS và HYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non FA,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,,,,ACT 2023,,,,,,,,,,Luan note,,,,
,Actual location,Stt,DIVISION,ASSET,LAWPROD_AMASSET_DESCRIPTION,ITEM_TOT_QTY,Q'ty 2,Tag th?c t?,Tag,TAG_NBR,SERIAL_NUMBER,MODEL_NUMBER,MODEL,Plant th?c t?,NOTE_BIN,Bin th?c t?,Tên máy,Khu v?c,Tr?ng thái,Ghi chú,From,To,To 2,To 3,Th?i h?n Transfer,ASSET_TYPE,INSRV_DATE, BOOK_BASIS , Net_Book_Value ,Department,Lo?i máy,Note,CS-line,Nhà s?n xu?t,S? tag,Serial,Model,Bin,Location,"Tên 
Ng??i ki?m","Tên
Ng??i nh?p",Note,Note match,,,,
#N/A,HYS,25,3844-7254321,303644,SEWING MACHINE,1,1,243962,243962,243962,,CF2339M-156S5,CF2339M,HYS,In production,X??ng A,Interlock,Sewing machine,,,,,,,,MACHEQUIP,12/1/2008," $1,740 ", $-   ,Mechanic,Máy may,,MEC-74 17,,243962,HA34645,CF2339M-156S5,G2,,Tú,Ng?c Anh,,Match,,,,
#N/A,HYS,26,3844-7254321,297607,SEWING MACHINE,1,1,219856,219856,219856,TN84059,CZ6003-03DF/K2,CZ6003,HYS,In production,KHU V?C TEST MÁY - CUT,Overlock,Sewing machine,,,,,,,,MACHEQUIP,8/1/2008, $909 , $-   ,Mechanic,Máy may,,MEC-166 5,Yamato,219856,TN84059,CZ6003-03DF/K2,CAT04,,??t,V?ng,,Match,,,,
#N/A,HYS,27,3844-7244321,297555,SEWING MACHINE,1,1,219676,219676,219676,TN848277,CZ6003-03DF/K2,CZ6003,HYS,In production,KHU V?C TEST MÁY - CUT,Overlock,Sewing machine,,,,,,,,MACHEQUIP,8/1/2008, $909 , $-   ,Mechanic,Máy may,,MEC-168 1,Yamato,219676,TN848277,CZ6003-03DF/K2,CAT06,,??t,V?ng,,Match,,,,
#N/A,HYS,28,3844-7314321,297566,SEWING MACHINE,1,1,219730,219730,219730,TN85668,CZ6003-03DF/K2,CZ6003,HYS,In production,WSA,Overlock,Sewing machine,TRANSFER-Internal,Chuy?n máy t? HYN v? HYS,HYN,HYS,,,,MACHEQUIP,8/1/2008, $909 , $-   ,Mechanic,Máy may,Chuy?n HYS (ch?a chuy?n s?),MEC-22 2,Yamato,219730,TN85668,CZ6003-03DF/K2,WS BR,,Huy,Ngà,,Match,,,,
#N/A,HYS,29,3844-7254321,297576,SEWING MACHINE,1,1,219765,219765,219765,TN84064,CZ6003-03DF/K2,CZ6003,HYS,In production,KHU V?C TEST MÁY - CUT,Overlock,Sewing machine,,,,,,,,MACHEQUIP,8/1/2008, $909 , $-   ,Mechanic,Máy may,,MEC-163 4,,219765,TN84064,CZ6003-03DF/K2,CAT01,,??t,V?ng,,Match,,,,
#N/A,HYS,30,3844-7254321,335358,Kingtex Interlock 30755604A,1,1,769773,701028,701028,30755604A,FT7003,FT7003,HYS,WH,KHO TT,Interlock,Sewing machine,,,,,,,,MACHEQUIP,10/3/2010," $1,046 ", $-   ,Mechanic,Máy may,,MEC-180 2,,769773,30755604A,FT7003,NOI DI CUA H1 VA G1,,??t,V?ng,,"Match serial, Tag changed",,,,
#N/A,HYN,31,3844-7314321,297699,SEWING MACHINE,1,1,M?t,726944,726944,TN83939,CZ6003-03DF/B3,CZ6003,HYS,WH,KHO TT,Overlock,Sewing machine,TRANSFER-External,Chuy?n máy t? HYN v? HYS 22.11.2023/ Chuy?n máy t? HYN ?i H?ng Long thuê 11.12.2023,HYN,HYS,HL,21.03 - Chuy?n t? HL v? HYS,,MACHEQUIP,8/1/2008, $891 , $-   ,Mechanic,Máy may,,HYN-4 8,Yamato,M?t,TN83939,CZ6003,B3.1,HYN,Thuy?n,Luân,OK,Match,,,,
#N/A,HYN,32,3844-7314321,297715,SEWING MACHINE,1,1,M?t,219903,219903,TN84032,CZ6003-03DF/B3,CZ6003,HYS,WH,KHO TT,Overlock,Sewing machine,TRANSFER-Internal,Chuy?n máy t? HYN v? HYS 22.11.2023,HYN,HYS,,,,MACHEQUIP,8/1/2008, $891 , $-   ,Mechanic,Máy may,,HYN-5 1,Yamato,M?t,M?,CZ6003,B4.1,HYN,Thuy?n,Luân,Máy M?t/ M? thông tin,Match,,,,
#N/A,HYN,33,3844-7314321,297774,SEWING MACHINE,1,1,219804,219804,219804,HA33376,CF2303M-132M,CF2303M,HYN,Inactive,?ã thanh lý,Interlock,Sewing machine,Disposal 17-Oct,,,,,,,MACHEQUIP,8/1/2008," $2,549 ", $-   ,Mechanic,Máy may,,HYN-11 17,Yamato,219804,HA33376,CF2303,E8.1,HYN,Thuy?n,Luân,OK,Match,,,,
#N/A,HYN,34,3844-7314321,297780,SEWING MACHINE,1,1,219822,219822,219822,HA33481,CF2303M-132M,CF2303M,HYN,Inactive,?ã thanh lý,Interlock,Sewing machine,Disposal 17-Oct,,,,,,,MACHEQUIP,8/1/2008," $2,549 ", $-   ,Mechanic,Máy may,,HYN-11 10,Yamato,219822,HA33481,CF2303,E7.1,HYN,Thuy?n,Luân,OK,Match,,,,
